City,Country,Scraping Link,Location,translated_original,translated_mymemory
Akanda,Gabon,,Akanda Gabon,nan,nan
Tbilisi,Georgia,,Tbilisi Georgia,nan,nan
Batumi,Georgia,,Batumi Georgia,nan,nan
Kutaisi,Georgia,,Kutaisi Georgia,nan,nan
Rustavi,Georgia,,Rustavi Georgia,nan,nan
Gori,Georgia,,Gori Georgia,nan,nan
Zugdidi,Georgia,,Zugdidi Georgia,nan,nan
Poti,Georgia,,Poti Georgia,nan,nan
Kobuleti,Georgia,,Kobuleti Georgia,nan,nan
Khashuri,Georgia,,Khashuri Georgia,nan,nan
Samtredia,Georgia,,Samtredia Georgia,nan,nan
Senaki,Georgia,,Senaki Georgia,nan,nan
Zestaponi,Georgia,,Zestaponi Georgia,nan,nan
Marneuli,Georgia,,Marneuli Georgia,nan,nan
Telavi,Georgia,,Telavi Georgia,nan,nan
Akhaltsikhe,Georgia,,Akhaltsikhe Georgia,nan,nan
Ozurgeti,Georgia,,Ozurgeti Georgia,nan,nan
Kaspi,Georgia,,Kaspi Georgia,nan,nan
Chiatura,Georgia,,Chiatura Georgia,nan,nan
Tskaltubo,Georgia,,Tskaltubo Georgia,nan,nan
Sagarejo,Georgia,,Sagarejo Georgia,nan,nan
Gardabani,Georgia,,Gardabani Georgia,nan,nan
Borjomi,Georgia,,Borjomi Georgia,nan,nan
Tkibuli,Georgia,,Tkibuli Georgia,nan,nan
Khoni,Georgia,,Khoni Georgia,nan,nan
Bolnisi,Georgia,,Bolnisi Georgia,nan,nan
Akhalkalaki,Georgia,,Akhalkalaki Georgia,nan,nan
Gurjaani,Georgia,,Gurjaani Georgia,nan,nan
Mtskheta,Georgia,,Mtskheta Georgia,nan,nan
Kvareli,Georgia,,Kvareli Georgia,nan,nan
Akhmeta,Georgia,,Akhmeta Georgia,nan,nan
Kareli,Georgia,,Kareli Georgia,nan,nan
Lanchkhuti,Georgia,,Lanchkhuti Georgia,nan,nan
Tsalenjikha,Georgia,,Tsalenjikha Georgia,nan,nan
Dusheti,Georgia,,Dusheti Georgia,nan,nan
Sachkhere,Georgia,,Sachkhere Georgia,nan,nan
Dedoplistsqaro,Georgia,,Dedoplistsqaro Georgia,nan,nan
Lagodekhi,Georgia,,Lagodekhi Georgia,nan,nan
Ninotsminda,Georgia,,Ninotsminda Georgia,nan,nan
Abasha,Georgia,,Abasha Georgia,nan,nan
Tsnori,Georgia,,Tsnori Georgia,nan,nan
Terjola,Georgia,,Terjola Georgia,nan,nan
Martvili,Georgia,,Martvili Georgia,nan,nan
Jvari,Georgia,,Jvari Georgia,nan,nan
Khobi,Georgia,,Khobi Georgia,nan,nan
Vani,Georgia,,Vani Georgia,nan,nan
Baghdati,Georgia,,Baghdati Georgia,nan,nan
Vale,Georgia,,Vale Georgia,nan,nan
Tetritsqaro,Georgia,,Tetritsqaro Georgia,nan,nan
Tsalka,Georgia,,Tsalka Georgia,nan,nan
Dmanisi,Georgia,,Dmanisi Georgia,nan,nan
Oni,Georgia,,Oni Georgia,nan,nan
Ambrolauri,Georgia,,Ambrolauri Georgia,nan,nan
Sighnaghi,Georgia,,Sighnaghi Georgia,nan,nan
Tsageri,Georgia,,Tsageri Georgia,nan,nan
Athens,Greece,,Athens Greece,nan,nan
Thessaloniki,Greece,,Thessaloniki Greece,nan,nan
Patras,Greece,,Patras Greece,nan,nan
Piraeus,Greece,,Piraeus Greece,nan,nan
Heraklion,Greece,,Heraklion Greece,nan,nan
Larissa,Greece,,Larissa Greece,nan,nan
Peristeri,Greece,,Peristeri Greece,nan,nan
Acharnes,Greece,,Acharnes Greece,nan,nan
Kallithea,Greece,,Kallithea Greece,nan,nan
Kalamaria,Greece,,Kalamaria Greece,nan,nan
Glyfada,Greece,,Glyfada Greece,nan,nan
Nikaia,Greece,,Nikaia Greece,nan,nan
Volos,Greece,,Volos Greece,nan,nan
Ilion,Greece,,Ilion Greece,nan,nan
Evosmos,Greece,,Evosmos Greece,nan,nan
Chalandri,Greece,,Chalandri Greece,nan,nan
Ilioupoli,Greece,,Ilioupoli Greece,nan,nan
Keratsini,Greece,,Keratsini Greece,nan,nan
Nea Smyrni,Greece,,Nea Smyrni Greece,nan,nan
Marousi,Greece,,Marousi Greece,nan,nan
Agios Dimitrios,Greece,,Agios Dimitrios Greece,nan,nan
Zografou,Greece,,Zografou Greece,nan,nan
Egaleo,Greece,,Egaleo Greece,nan,nan
Ioannina,Greece,,Ioannina Greece,nan,nan
Palaio Faliro,Greece,,Palaio Faliro Greece,nan,nan
Nea Ionia,Greece,,Nea Ionia Greece,nan,nan
Chalcis,Greece,,Chalcis Greece,nan,nan
Agia Paraskevi,Greece,,Agia Paraskevi Greece,nan,nan
Trikala,Greece,,Trikala Greece,nan,nan
Korydallos,Greece,,Korydallos Greece,nan,nan
Petroupoli,Greece,,Petroupoli Greece,nan,nan
Alexandroupoli,Greece,,Alexandroupoli Greece,nan,nan
Serres,Greece,,Serres Greece,nan,nan
Katerini,Greece,,Katerini Greece,nan,nan
Vyronas,Greece,,Vyronas Greece,nan,nan
Kalamata,Greece,,Kalamata Greece,nan,nan
Xanthi,Greece,,Xanthi Greece,nan,nan
Galatsi,Greece,,Galatsi Greece,nan,nan
Rhodes,Greece,,Rhodes Greece,nan,nan
Chania,Greece,,Chania Greece,nan,nan
Komotini,Greece,,Komotini Greece,nan,nan
Kavala,Greece,,Kavala Greece,nan,nan
Agrinio,Greece,,Agrinio Greece,nan,nan
Irakleio,Greece,,Irakleio Greece,nan,nan
Kifissia,Greece,,Kifissia Greece,nan,nan
Lamia,Greece,,Lamia Greece,nan,nan
Chaidari,Greece,,Chaidari Greece,nan,nan
Stavroupoli,Greece,,Stavroupoli Greece,nan,nan
Drama,Greece,,Drama Greece,nan,nan
Kozani,Greece,,Kozani Greece,nan,nan
Veria,Greece,,Veria Greece,nan,nan
Alimos,Greece,,Alimos Greece,nan,nan
Karditsa,Greece,,Karditsa Greece,nan,nan
Polichni,Greece,,Polichni Greece,nan,nan
Pylaia,Greece,,Pylaia Greece,nan,nan
Ampelokipoi,Greece,,Ampelokipoi Greece,nan,nan
Rethymno,Greece,,Rethymno Greece,nan,nan
Sykies,Greece,,Sykies Greece,nan,nan
Ano Liosia,Greece,,Ano Liosia Greece,nan,nan
Gerakas,Greece,,Gerakas Greece,nan,nan
Mytilene,Greece,,Mytilene Greece,nan,nan
Argyroupoli,Greece,,Argyroupoli Greece,nan,nan
Vrilissia,Greece,,Vrilissia Greece,nan,nan
Agioi Anargyroi,Greece,,Agioi Anargyroi Greece,nan,nan
Ptolemaida,Greece,,Ptolemaida Greece,nan,nan
Voula,Greece,,Voula Greece,nan,nan
Aspropyrgos,Greece,,Aspropyrgos Greece,nan,nan
Cholargos,Greece,,Cholargos Greece,nan,nan
Koropi,Greece,,Koropi Greece,nan,nan
Corinth,Greece,,Corinth Greece,nan,nan
Corfu,Greece,,Corfu Greece,nan,nan
Giannitsa,Greece,,Giannitsa Greece,nan,nan
Tripoli,Greece,,Tripoli Greece,nan,nan
Metamorfosi,Greece,,Metamorfosi Greece,nan,nan
Kamatero,Greece,,Kamatero Greece,nan,nan
Megara,Greece,,Megara Greece,nan,nan
Chios,Greece,,Chios Greece,nan,nan
Agia Varvara,Greece,,Agia Varvara Greece,nan,nan
Kaisariani,Greece,,Kaisariani Greece,nan,nan
Eleftherio-Kordelio,Greece,,Eleftherio-Kordelio Greece,nan,nan
Pyrgos,Greece,,Pyrgos Greece,nan,nan
Neapoli,Greece,,Neapoli Greece,nan,nan
Perama,Greece,,Perama Greece,nan,nan
Moschato,Greece,,Moschato Greece,nan,nan
Nea Filadelfeia,Greece,,Nea Filadelfeia Greece,nan,nan
Salamina,Greece,,Salamina Greece,nan,nan
Eleusis,Greece,,Eleusis Greece,nan,nan
Kilkis,Greece,,Kilkis Greece,nan,nan
Arta,Greece,,Arta Greece,nan,nan
Oraiokastro,Greece,,Oraiokastro Greece,nan,nan
Melissia,Greece,,Melissia Greece,nan,nan
Pallini,Greece,,Pallini Greece,nan,nan
Dafni,Greece,,Dafni Greece,nan,nan
Livadeia,Greece,,Livadeia Greece,nan,nan
Artemida,Greece,,Artemida Greece,nan,nan
Argos,Greece,,Argos Greece,nan,nan
Thebes,Greece,,Thebes Greece,nan,nan
Kos,Greece,,Kos Greece,nan,nan
Pefki,Greece,,Pefki Greece,nan,nan
Preveza,Greece,,Preveza Greece,nan,nan
Aigio,Greece,,Aigio Greece,nan,nan
Orestiada,Greece,,Orestiada Greece,nan,nan
Thermi,Greece,,Thermi Greece,nan,nan
Nea Erythraia,Greece,,Nea Erythraia Greece,nan,nan
Amaliada,Greece,,Amaliada Greece,nan,nan
Nea Makri,Greece,,Nea Makri Greece,nan,nan
Naousa,Greece,,Naousa Greece,nan,nan
Edessa,Greece,,Edessa Greece,nan,nan
Sparta,Greece,,Sparta Greece,nan,nan
Kalymnos,Greece,,Kalymnos Greece,nan,nan
Ierapetra,Greece,,Ierapetra Greece,nan,nan
Panorama,Greece,,Panorama Greece,nan,nan
Florina,Greece,,Florina Greece,nan,nan
Peraia,Greece,,Peraia Greece,nan,nan
Vari,Greece,,Vari Greece,nan,nan
Elliniko,Greece,,Elliniko Greece,nan,nan
Kastoria,Greece,,Kastoria Greece,nan,nan
Gazi,Greece,,Gazi Greece,nan,nan
Paiania,Greece,,Paiania Greece,nan,nan
Alexandreia,Greece,,Alexandreia Greece,nan,nan
Kalyvia Thorikou,Greece,,Kalyvia Thorikou Greece,nan,nan
Efkarpia,Greece,,Efkarpia Greece,nan,nan
Agios Ioannis Renti,Greece,,Agios Ioannis Renti Greece,nan,nan
Rafina,Greece,,Rafina Greece,nan,nan
Nafplio,Greece,,Nafplio Greece,nan,nan
Tavros,Greece,,Tavros Greece,nan,nan
Menemeni,Greece,,Menemeni Greece,nan,nan
Missolonghi,Greece,,Missolonghi Greece,nan,nan
Papagou,Greece,,Papagou Greece,nan,nan
Loutraki,Greece,,Loutraki Greece,nan,nan
Drapetsona,Greece,,Drapetsona Greece,nan,nan
Agios Nikolaos,Greece,,Agios Nikolaos Greece,nan,nan
Pefka,Greece,,Pefka Greece,nan,nan
Nea Alikarnassos,Greece,,Nea Alikarnassos Greece,nan,nan
Spata,Greece,,Spata Greece,nan,nan
Nafpaktos,Greece,,Nafpaktos Greece,nan,nan
Ialysos,Greece,,Ialysos Greece,nan,nan
Grevena,Greece,,Grevena Greece,nan,nan
Mandra,Greece,,Mandra Greece,nan,nan
Glyka Nera,Greece,,Glyka Nera Greece,nan,nan
Diavata,Greece,,Diavata Greece,nan,nan
Tyrnavos,Greece,,Tyrnavos Greece,nan,nan
Sitia,Greece,,Sitia Greece,nan,nan
Ermoupoli,Greece,,Ermoupoli Greece,nan,nan
Argostoli,Greece,,Argostoli Greece,nan,nan
Neo Psychiko,Greece,,Neo Psychiko Greece,nan,nan
Agios Stefanos,Greece,,Agios Stefanos Greece,nan,nan
Ymittos,Greece,,Ymittos Greece,nan,nan
Anatoli,Greece,,Anatoli Greece,nan,nan
Igoumenitsa,Greece,,Igoumenitsa Greece,nan,nan
Nea Artaki,Greece,,Nea Artaki Greece,nan,nan
Nea Moudania,Greece,,Nea Moudania Greece,nan,nan
Nuuk,Greenland,,Nuuk Greenland,nan,nan
Sisimiut,Greenland,,Sisimiut Greenland,nan,nan
Ilulissat,Greenland,,Ilulissat Greenland,nan,nan
Qaqortoq,Greenland,,Qaqortoq Greenland,nan,nan
Aasiaat,Greenland,,Aasiaat Greenland,nan,nan
Maniitsoq,Greenland,,Maniitsoq Greenland,nan,nan
Tasiilaq,Greenland,,Tasiilaq Greenland,nan,nan
Uummannaq,Greenland,,Uummannaq Greenland,nan,nan
Narsaq,Greenland,,Narsaq Greenland,nan,nan
Paamiut,Greenland,,Paamiut Greenland,nan,nan
Nanortalik,Greenland,,Nanortalik Greenland,nan,nan
Upernavik,Greenland,,Upernavik Greenland,nan,nan
Qasigiannguit,Greenland,,Qasigiannguit Greenland,nan,nan
Bissau,Guinea-Bissau,,Bissau Guinea-Bissau,nan,nan
Gabú,Guinea-Bissau,,Gabú Guinea-Bissau,nan,nan
Bafatá,Guinea-Bissau,,Bafatá Guinea-Bissau,nan,nan
Canchungo,Guinea-Bissau,,Canchungo Guinea-Bissau,nan,nan
Bissorã,Guinea-Bissau,,Bissorã Guinea-Bissau,nan,nan
Farim,Guinea-Bissau,,Farim Guinea-Bissau,nan,nan
Mansôa,Guinea-Bissau,,Mansôa Guinea-Bissau,nan,nan
Buba,Guinea-Bissau,,Buba Guinea-Bissau,nan,nan
Cacheu,Guinea-Bissau,,Cacheu Guinea-Bissau,nan,nan
Quinhámel,Guinea-Bissau,,Quinhámel Guinea-Bissau,nan,nan
Quebo,Guinea-Bissau,,Quebo Guinea-Bissau,nan,nan
Catió,Guinea-Bissau,,Catió Guinea-Bissau,nan,nan
Bolama,Guinea-Bissau,,Bolama Guinea-Bissau,nan,nan
Conakry,Guinea,,Conakry Guinea,nan,nan
Nzérékoré,Guinea,,Nzérékoré Guinea,nan,nan
Kankan,Guinea,,Kankan Guinea,nan,nan
Manéah,Guinea,,Manéah Guinea,nan,nan
Dubréka,Guinea,,Dubréka Guinea,nan,nan
Kindia,Guinea,,Kindia Guinea,nan,nan
Siguiri,Guinea,,Siguiri Guinea,nan,nan
Kissidougou,Guinea,,Kissidougou Guinea,nan,nan
Labé,Guinea,,Labé Guinea,nan,nan
Kamsar,Guinea,,Kamsar Guinea,nan,nan
Abricots,Haiti,,Abricots Haiti,nan,nan
Acul-du-Nord,Haiti,,Acul-du-Nord Haiti,nan,nan
Anse-à-Foleur,Haiti,,Anse-à-Foleur Haiti,nan,nan
Anse-à-Galets,Haiti,,Anse-à-Galets Haiti,nan,nan
Anse-à-Veau,Haiti,,Anse-à-Veau Haiti,nan,nan
Anse-à-Pitres,Haiti,,Anse-à-Pitres Haiti,nan,nan
Anse-d'Hainault,Haiti,,Anse-d'Hainault Haiti,nan,nan
Anse-Rouge,Haiti,,Anse-Rouge Haiti,nan,nan
Aquin,Haiti,,Aquin Haiti,nan,nan
Arcahaie,Haiti,,Arcahaie Haiti,nan,nan
Arnaud,Haiti,,Arnaud Haiti,nan,nan
Arniquet,Haiti,,Arniquet Haiti,nan,nan
Bahon,Haiti,,Bahon Haiti,nan,nan
Baie-de-Henne,Haiti,,Baie-de-Henne Haiti,nan,nan
Bainet,Haiti,,Bainet Haiti,nan,nan
Baradères,Haiti,,Baradères Haiti,nan,nan
Bas-Limbé,Haiti,,Bas-Limbé Haiti,nan,nan
Bassin-Bleu,Haiti,,Bassin-Bleu Haiti,nan,nan
Beaumont,Haiti,,Beaumont Haiti,nan,nan
Belladère,Haiti,,Belladère Haiti,nan,nan
Belle-Anse,Haiti,,Belle-Anse Haiti,nan,nan
Bombardopolis,Haiti,,Bombardopolis Haiti,nan,nan
Bonbon,Haiti,,Bonbon Haiti,nan,nan
Borgne,Haiti,,Borgne Haiti,nan,nan
Boucan-Carré,Haiti,,Boucan-Carré Haiti,nan,nan
Cabaret,Haiti,,Cabaret Haiti,nan,nan
Camp-Perrin,Haiti,,Camp-Perrin Haiti,nan,nan
Cap-Haïtien,Haiti,,Cap-Haïtien Haiti,nan,nan
Capotille,Haiti,,Capotille Haiti,nan,nan
Caracol,Haiti,,Caracol Haiti,nan,nan
Carrefour,Haiti,,Carrefour Haiti,nan,nan
Carice,Haiti,,Carice Haiti,nan,nan
Cavaellon,Haiti,,Cavaellon Haiti,nan,nan
Cayes-Jacmel,Haiti,,Cayes-Jacmel Haiti,nan,nan
Cerca-Carvajal,Haiti,,Cerca-Carvajal Haiti,nan,nan
Cerca-la-Source,Haiti,,Cerca-la-Source Haiti,nan,nan
Chambellan,Haiti,,Chambellan Haiti,nan,nan
Chansolme,Haiti,,Chansolme Haiti,nan,nan
Chantal,Haiti,,Chantal Haiti,nan,nan
Chardonnières,Haiti,,Chardonnières Haiti,nan,nan
Cité Soleil,Haiti,,Cité Soleil Haiti,nan,nan
Corail,Haiti,,Corail Haiti,nan,nan
Cornillon,Haiti,,Cornillon Haiti,nan,nan
Côteaux,Haiti,,Côteaux Haiti,nan,nan
Côtes-de-Fer,Haiti,,Côtes-de-Fer Haiti,nan,nan
Croix-des-Bouquets,Haiti,,Croix-des-Bouquets Haiti,nan,nan
Dame-Marie,Haiti,,Dame-Marie Haiti,nan,nan
Delmas,Haiti,,Delmas Haiti,nan,nan
Desdunes,Haiti,,Desdunes Haiti,nan,nan
Dessalines,Haiti,,Dessalines Haiti,nan,nan
Dondon,Haiti,,Dondon Haiti,nan,nan
Ennery,Haiti,,Ennery Haiti,nan,nan
Ferrier,Haiti,,Ferrier Haiti,nan,nan
Fond-des-Blancs,Haiti,,Fond-des-Blancs Haiti,nan,nan
Fonds-des-Nègres,Haiti,,Fonds-des-Nègres Haiti,nan,nan
Fonds-Verrettes,Haiti,,Fonds-Verrettes Haiti,nan,nan
Fort-Liberté,Haiti,,Fort-Liberté Haiti,nan,nan
Ganthier,Haiti,,Ganthier Haiti,nan,nan
Gonaïves,Haiti,,Gonaïves Haiti,nan,nan
Grand-Boucan,Haiti,,Grand-Boucan Haiti,nan,nan
Grand-Goâve,Haiti,,Grand-Goâve Haiti,nan,nan
Grand-Gosier,Haiti,,Grand-Gosier Haiti,nan,nan
Grande-Rivière-du-Nord,Haiti,,Grande-Rivière-du-Nord Haiti,nan,nan
Grande-Saline,Haiti,,Grande-Saline Haiti,nan,nan
Gressier,Haiti,,Gressier Haiti,nan,nan
Gros-Morne,Haiti,,Gros-Morne Haiti,nan,nan
Hinche,Haiti,,Hinche Haiti,nan,nan
Île-à-Vache,Haiti,,Île-à-Vache Haiti,nan,nan
Île de la Tortue,Haiti,,Île de la Tortue Haiti,nan,nan
Jacmel,Haiti,,Jacmel Haiti,nan,nan
Jean-Rabel,Haiti,,Jean-Rabel Haiti,nan,nan
Jérémie,Haiti,,Jérémie Haiti,nan,nan
Kenscoff,Haiti,,Kenscoff Haiti,nan,nan
Lascahobas,Haiti,,Lascahobas Haiti,nan,nan
L'Asile,Haiti,,L'Asile Haiti,nan,nan
L'Estère,Haiti,,L'Estère Haiti,nan,nan
La Chapelle,Haiti,,La Chapelle Haiti,nan,nan
La Vallée-de-Jacmel,Haiti,,La Vallée-de-Jacmel Haiti,nan,nan
La Victoire,Haiti,,La Victoire Haiti,nan,nan
Léogâne,Haiti,,Léogâne Haiti,nan,nan
Les Anglais,Haiti,,Les Anglais Haiti,nan,nan
Les Cayes,Haiti,,Les Cayes Haiti,nan,nan
Les Irois,Haiti,,Les Irois Haiti,nan,nan
Limbé,Haiti,,Limbé Haiti,nan,nan
Limonade,Haiti,,Limonade Haiti,nan,nan
Maïssade,Haiti,,Maïssade Haiti,nan,nan
Maniche,Haiti,,Maniche Haiti,nan,nan
Marigot,Haiti,,Marigot Haiti,nan,nan
Marmelade,Haiti,,Marmelade Haiti,nan,nan
Milot,Haiti,,Milot Haiti,nan,nan
Miragoâne,Haiti,,Miragoâne Haiti,nan,nan
Mirebalais,Haiti,,Mirebalais Haiti,nan,nan
Mombin-Crochu,Haiti,,Mombin-Crochu Haiti,nan,nan
Mont-Organisé,Haiti,,Mont-Organisé Haiti,nan,nan
Môle-Saint-Nicolas,Haiti,,Môle-Saint-Nicolas Haiti,nan,nan
Moron,Haiti,,Moron Haiti,nan,nan
Ouanaminthe,Haiti,,Ouanaminthe Haiti,nan,nan
Paillant,Haiti,,Paillant Haiti,nan,nan
Perches,Haiti,,Perches Haiti,nan,nan
Pestel,Haiti,,Pestel Haiti,nan,nan
Petite-Rivière-de-Nippes,Haiti,,Petite-Rivière-de-Nippes Haiti,nan,nan
Petit-Trou-de-Nippes,Haiti,,Petit-Trou-de-Nippes Haiti,nan,nan
Pétion-Ville,Haiti,,Pétion-Ville Haiti,nan,nan
Petit-Goâve,Haiti,,Petit-Goâve Haiti,nan,nan
Petite Rivière de l'Artibonite,Haiti,,Petite Rivière de l'Artibonite Haiti,nan,nan
Pignon,Haiti,,Pignon Haiti,nan,nan
Pilate,Haiti,,Pilate Haiti,nan,nan
Plaine-du-Nord,Haiti,,Plaine-du-Nord Haiti,nan,nan
Plaisance,Haiti,,Plaisance Haiti,nan,nan
Plaisance-du-Sud,Haiti,,Plaisance-du-Sud Haiti,nan,nan
Pointe-à-Raquette,Haiti,,Pointe-à-Raquette Haiti,nan,nan
Port-Margot,Haiti,,Port-Margot Haiti,nan,nan
Port-à-Piment,Haiti,,Port-à-Piment Haiti,nan,nan
Port-au-Prince,Haiti,,Port-au-Prince Haiti,nan,nan
Port-de-Paix,Haiti,,Port-de-Paix Haiti,nan,nan
Port-Salut,Haiti,,Port-Salut Haiti,nan,nan
Quartier-Morin,Haiti,,Quartier-Morin Haiti,nan,nan
Ranquitte,Haiti,,Ranquitte Haiti,nan,nan
Roche-à-Bateaux,Haiti,,Roche-à-Bateaux Haiti,nan,nan
Roseaux,Haiti,,Roseaux Haiti,nan,nan
Saint-Jean-du-Sud,Haiti,,Saint-Jean-du-Sud Haiti,nan,nan
Saint-Louis-du-Nord,Haiti,,Saint-Louis-du-Nord Haiti,nan,nan
Saint-Louis-du-Sud,Haiti,,Saint-Louis-du-Sud Haiti,nan,nan
Saint-Marc,Haiti,,Saint-Marc Haiti,nan,nan
Saint-Michel-de-l'Atalaye,Haiti,,Saint-Michel-de-l'Atalaye Haiti,nan,nan
Saint-Raphaël,Haiti,,Saint-Raphaël Haiti,nan,nan
Sainte-Suzanne,Haiti,,Sainte-Suzanne Haiti,nan,nan
Saut-d'Eau,Haiti,,Saut-d'Eau Haiti,nan,nan
Savanette,Haiti,,Savanette Haiti,nan,nan
Tabarre,Haiti,,Tabarre Haiti,nan,nan
Terre-Neuve,Haiti,,Terre-Neuve Haiti,nan,nan
Terrier-Rouge,Haiti,,Terrier-Rouge Haiti,nan,nan
Thiotte,Haiti,,Thiotte Haiti,nan,nan
Thomassique,Haiti,,Thomassique Haiti,nan,nan
Thomonde,Haiti,,Thomonde Haiti,nan,nan
Thomazeau,Haiti,,Thomazeau Haiti,nan,nan
Torbeck,Haiti,,Torbeck Haiti,nan,nan
Trou-du-Nord,Haiti,,Trou-du-Nord Haiti,nan,nan
Vallières,Haiti,,Vallières Haiti,nan,nan
Verrettes,Haiti,,Verrettes Haiti,nan,nan
Budapest,Hungary,,Budapest Hungary,nan,nan
Debrecen,Hungary,,Debrecen Hungary,nan,nan
Szeged,Hungary,,Szeged Hungary,nan,nan
Miskolc,Hungary,,Miskolc Hungary,nan,nan
Pécs,Hungary,,Pécs Hungary,nan,nan
Győr,Hungary,,Győr Hungary,nan,nan
Nyíregyháza,Hungary,,Nyíregyháza Hungary,nan,nan
Kecskemét,Hungary,,Kecskemét Hungary,nan,nan
Mumbai,India,,Mumbai India,nan,nan
Delhi,India,,Delhi India,nan,nan
Bangalore,India,,Bangalore India,nan,nan
Hyderabad,India,,Hyderabad India,nan,nan
Ahmedabad,India,,Ahmedabad India,nan,nan
Chennai,India,,Chennai India,nan,nan
Kolkata,India,,Kolkata India,nan,nan
Surat,India,,Surat India,nan,nan
Pune,India,,Pune India,nan,nan
Jaipur,India,,Jaipur India,nan,nan
Lucknow,India,,Lucknow India,nan,nan
Kanpur,India,,Kanpur India,nan,nan
Nagpur,India,,Nagpur India,nan,nan
Indore,India,,Indore India,nan,nan
Thane,India,,Thane India,nan,nan
Bhopal,India,,Bhopal India,nan,nan
Visakhapatnam,India,,Visakhapatnam India,nan,nan
Pimpri-Chinchwad,India,,Pimpri-Chinchwad India,nan,nan
Patna,India,,Patna India,nan,nan
Vadodara,India,,Vadodara India,nan,nan
Ghaziabad,India,,Ghaziabad India,nan,nan
Ludhiana,India,,Ludhiana India,nan,nan
Agra,India,,Agra India,nan,nan
Nashik,India,,Nashik India,nan,nan
Faridabad,India,,Faridabad India,nan,nan
Meerut,India,,Meerut India,nan,nan
Rajkot,India,,Rajkot India,nan,nan
Kalyan-Dombivali,India,,Kalyan-Dombivali India,nan,nan
Vasai-Virar,India,,Vasai-Virar India,nan,nan
Varanasi,India,,Varanasi India,nan,nan
Srinagar,India,,Srinagar India,nan,nan
Aurangabad,India,,Aurangabad India,nan,nan
Dhanbad,India,,Dhanbad India,nan,nan
Amritsar,India,,Amritsar India,nan,nan
Navi Mumbai,India,,Navi Mumbai India,nan,nan
Prayagraj,India,,Prayagraj India,nan,nan
Howrah,India,,Howrah India,nan,nan
Ranchi,India,,Ranchi India,nan,nan
Jabalpur,India,,Jabalpur India,nan,nan
Gwalior,India,,Gwalior India,nan,nan
Coimbatore,India,,Coimbatore India,nan,nan
Vijayawada,India,,Vijayawada India,nan,nan
Jodhpur,India,,Jodhpur India,nan,nan
Madurai,India,,Madurai India,nan,nan
Raipur,India,,Raipur India,nan,nan
Kota,India,,Kota India,nan,nan
Karaj,Iran,,Karaj Iran,nan,nan
Fardis,Iran,,Fardis Iran,nan,nan
Kamal Shahr,Iran,,Kamal Shahr Iran,nan,nan
Nazarabad,Iran,,Nazarabad Iran,nan,nan
Mohammadshahr,Iran,,Mohammadshahr Iran,nan,nan
Mahdasht,Iran,,Mahdasht Iran,nan,nan
Meshkin Dasht,Iran,,Meshkin Dasht Iran,nan,nan
Hashtgerd,Iran,,Hashtgerd Iran,nan,nan
Chaharbagh,Iran,,Chaharbagh Iran,nan,nan
Shahr-e Jadid-e Hashtgerd,Iran,,Shahr-e Jadid-e Hashtgerd Iran,nan,nan
Eshtehard,Iran,,Eshtehard Iran,nan,nan
Garmdarreh,Iran,,Garmdarreh Iran,nan,nan
Golsar,Iran,,Golsar Iran,nan,nan
Kuhsar,Iran,,Kuhsar Iran,nan,nan
Tankaman,Iran,,Tankaman Iran,nan,nan
Taleqan,Iran,,Taleqan Iran,nan,nan
Asara,Iran,,Asara Iran,nan,nan
Baghdad,Iraq,,Baghdad Iraq,nan,nan
Mosul,Iraq,,Mosul Iraq,nan,nan
Basra,Iraq,,Basra Iraq,nan,nan
Kirkuk,Iraq,,Kirkuk Iraq,nan,nan
Erbil,Iraq,,Erbil Iraq,nan,nan
Najaf,Iraq,,Najaf Iraq,nan,nan
Karbala,Iraq,,Karbala Iraq,nan,nan
Sulaymaniyah,Iraq,,Sulaymaniyah Iraq,nan,nan
Nasiriyah,Iraq,,Nasiriyah Iraq,nan,nan
Amarah,Iraq,,Amarah Iraq,nan,nan
Hillah,Iraq,,Hillah Iraq,nan,nan
Diwaniyah,Iraq,,Diwaniyah Iraq,nan,nan
Kut,Iraq,,Kut Iraq,nan,nan
Dohuk,Iraq,,Dohuk Iraq,nan,nan
Zubayr,Iraq,,Zubayr Iraq,nan,nan
Baqubah,Iraq,,Baqubah Iraq,nan,nan
Fallujah,Iraq,,Fallujah Iraq,nan,nan
Ramadi,Iraq,,Ramadi Iraq,nan,nan
Samawah,Iraq,,Samawah Iraq,nan,nan
Zakho,Iraq,,Zakho Iraq,nan,nan
Abu Al-Khaseeb,Iraq,,Abu Al-Khaseeb Iraq,nan,nan
Al-Shatrah,Iraq,,Al-Shatrah Iraq,nan,nan
Tal Afar,Iraq,,Tal Afar Iraq,nan,nan
Kufa,Iraq,,Kufa Iraq,nan,nan
Kalar,Iraq,,Kalar Iraq,nan,nan
Samarra,Iraq,,Samarra Iraq,nan,nan
Shatt Al-Arab,Iraq,,Shatt Al-Arab Iraq,nan,nan
Soran,Iraq,,Soran Iraq,nan,nan
Suq al-Shuyukh,Iraq,,Suq al-Shuyukh Iraq,nan,nan
Al-Shamal,Iraq,,Al-Shamal Iraq,nan,nan
Al-Qurnah,Iraq,,Al-Qurnah Iraq,nan,nan
Al-Wahda,Iraq,,Al-Wahda Iraq,nan,nan
Tikrit,Iraq,,Tikrit Iraq,nan,nan
